ID,Severity,Pillar,File,Location,Finding,Impact,Status,Resolution
F-01,CRITICAL,"Trust / Provenance",_posts/*.md,32 files,Hidden HTML comments containing full AI content-generation prompts shipped in production pages,Severe trust/provenance leak discoverable via page source; contradicts published transparency stance,FIXED,All 32 prompt blocks stripped; visible AI-assistance disclosure line added linking to Editorial Policy
F-02,CRITICAL,Structured Data,_layouts/post.html,L615,VideoObject duration fell back to hardcoded PT10M0S when no duration provided,Systematic fabrication of video runtime in schema across all posts lacking explicit duration; rich-result spam risk,FIXED,Duration emitted only when page.video_duration exists
F-03,CRITICAL,Structured Data,"_posts/2026-07-27 intro post; _posts/2026-07-31 auditor post","front matter L10/L12; auditor body L32-34",Malformed YouTube IDs (05cr4W9uyA = 9 chars; 05cr4W9uyAA = 10 chars) generating invalid VideoObject URLs and a broken iframe,Invalid embedUrl/contentUrl schema; non-playing embed for visitors,FIXED,Both youtube_id fields and orphaned duration removed; broken iframe deleted; valid hand-placed embeds retained
H-04,HIGH,E-E-A-T Identity,"post.html:533,:621; page.html:42; index.md:26,:38,:56,:91; archive.md:40; authors.yml:6",9 locations,Publisher logo hardcoded to off-repo URL https://f9xr.github.io/logo.webp instead of repo path /articles/logo.webp,Broken or incorrect logo in knowledge-panel and rich-result contexts; inconsistent entity identity,FIXED,absolute_url/jsonify Liquid filters applied; literal correct URL in authors.yml; zero hardcoded matches remain
H-05,HIGH,E-E-A-T Expertise,_data/authors.yml,whole file,No education/experience/knowsAbout keys so author pages and Person JSON-LD carried no verifiable credentials,Thin author authority signals; alumniOf/knowsAbout schema empty despite template support,FIXED,"Structured education (B.Com Hons Gitam University; ACCA candidacy), experience entries with highlights, knowsAbout lists added for both authors from existing bio claims only"
H-06,HIGH,Link Quality,"intro post L139-141; consistency-audits post L64",4 links,Outbound links to thin/low-authority domains (foilai.in vroai.in ttearncrypto.github.io backlynk.io),Equity flow to weak domains; weak-source citation undermining adjacent statistics,FIXED,Portfolio items kept as plain bold names; backlynk link removed with prose attribution retained
H-07,HIGH,Trust NAP,site-wide,n/a,No business address phone or registration number anywhere; contact uses Gmail address,Limited Organization trust signals; cannot verify business entity or link Google Business Profile,OPEN,Requires owner-provided real address/phone and branded email
H-08,HIGH,E-E-A-T Experience,26 of 34 posts,bylines,Collective F9XR Editorial Team byline without named individual author,Weaker first-hand experience signals for YMYL-adjacent topics,MITIGATED,Team credentials now structured in authors.yml; per-post named bylines deferred to editorial decision
M-09,MEDIUM,Content Accuracy,_posts/2026-08-08 essential-txt-files,L91-93,Suspected live placeholder links to yoursite.com in llms.txt example,Potential dead outbound links,FALSE POSITIVE,Verified inside fenced code blocks; render as literal text not links
M-10,MEDIUM,Structured Data,post.html page.html index.md default.html,multiple,Organization schema duplicated across templates with drifting values,Inconsistent publisher entity across page types,PARTIAL,Logo values normalized; consolidation into shared include recommended as follow-up
M-11,MEDIUM,Citations,~10 posts,various,Statistics presented without sources (73% 420% 300% 2.4 positions etc.),Unverifiable claims weaken E-E-A-T and invite quality-rater scrutiny,REPORT-ONLY,Per approved scope; sourcing pass recommended later
M-12,MEDIUM,Citations,multiple posts,various,Vague attributions such as studies show / experts say,Ambiguous provenance reduces credibility,REPORT-ONLY,Replace with named sources during next content pass
M-13,MEDIUM,YMYL Disclosures,finance/crypto-related claims,scattered,Results claims lack financial-disclaimer framing,Compliance and trust gap on money topics,REPORT-ONLY,Add standard disclaimer block when touching these posts
M-14,MEDIUM,Structured Data,_layouts/default.html,head,No SearchAction sitelinks searchbox markup,Missing potential rich result for brand queries,OPEN,Add SearchAction JSON-LD referencing existing site search
M-15,MEDIUM,Editorial QA,"3 posts (2026-08-07 :151; 2026-08-08 :152 :190; 2026-08-13 :62 :72 :106)",5 headings,Stray question marks on declarative headings,Grammar errors reduce perceived professionalism,FIXED,Question marks removed on declarative headings; genuine questions kept
M-16,MEDIUM,Working Tree,press/about.md,3 headings,Uncommitted edit appended ? to three declarative headings (not audit-related),Grammar regression in working tree,REVERTED,Restored committed state via git checkout
M-17,MEDIUM,Internal Linking,_layouts,navigation/footer,Author profile pages unreachable from nav or footer,Thin discovery of expertise pages by users and crawlers,OPEN,Add Authors link to footer navigation
L-18,LOW,Structured Data,_layouts/default.html,JSON-LD,Blog labeled @type Blog though it operates as a publication/magazine,Minor entity-type mismatch vs actual publishing model,REPORT-ONLY,Evaluate switching to Organization + blog semantics
L-19,LOW,Editorial QA,various posts,body copy,Unverifiable superlatives (world-class cutting-edge),Weakens factual tone,REPORT-ONLY,Tighten during next content refresh
L-20,LOW,Editorial QA,intro post,podcast section,Podcast host referenced without name,Minor credibility gap,REPORT-ONLY,Name the host or generalize the reference
T-21,TOOLING,File Hygiene,_posts/*.md,3 files after scripted edits,UTF-8 BOMs introduced by PowerShell rewrites,Potential front-matter parsing quirks on some Jekyll versions,FIXED,Detected and stripped all BOMs; verified files begin with front-matter delimiters
